Time, IndividualID, AgeYears, Gender, From_NodeID, To_NodeID, MigrationType, Event,IsInfected, Rel_ID, NumCoitalActs, IsDiscordant, HasMigrated, RelationshipType, RelationshipState, PartnerID, Male_NodeID, Female_NodeID
2,36,31.8485,M,1,0,N/A,STIPostImmigrating,0,12,0,0,1,MARITAL,MIGRATING,270,1,0
2,270,34.6024,F,1,0,N/A,STIPostImmigrating,0,12,0,0,1,MARITAL,NORMAL,36,1,1
2,36,31.8485,M,2,1,local,STIPreEmigrating,0,12,0,0,1,MARITAL,MIGRATING,270,2,2
2,270,34.6024,F,2,1,local,STIPreEmigrating,0,12,0,0,1,MARITAL,MIGRATING,36,0,2
6,46,61.1321,M,1,0,N/A,STIPostImmigrating,0,14,1,0,1,MARITAL,MIGRATING,200,1,0
6,156,22.0432,F,1,0,N/A,STIPostImmigrating,0,66,0,0,1,MARITAL,MIGRATING,336,0,1
6,336,29.373,M,1,0,N/A,STIPostImmigrating,0,66,0,0,1,MARITAL,NORMAL,156,1,1
6,200,57.1128,F,1,0,N/A,STIPostImmigrating,0,14,1,0,1,MARITAL,NORMAL,46,1,1
6,46,61.1321,M,2,1,local,STIPreEmigrating,0,14,1,0,1,MARITAL,MIGRATING,200,2,2
6,156,22.0432,F,2,1,local,STIPreEmigrating,0,66,0,0,1,MARITAL,MIGRATING,336,2,2
6,336,29.373,M,2,1,local,STIPreEmigrating,0,66,0,0,1,MARITAL,MIGRATING,156,2,0
6,200,57.1128,F,2,1,local,STIPreEmigrating,0,14,1,0,1,MARITAL,MIGRATING,46,0,2
8,63,45.1172,M,1,2,local,STIPreEmigrating,0,41,4,0,1,MARITAL,MIGRATING,281,1,1
8,281,42.5174,F,1,2,local,STIPreEmigrating,0,41,4,0,1,MARITAL,MIGRATING,63,0,1
8,63,45.1172,M,2,0,N/A,STIPostImmigrating,0,41,4,0,1,MARITAL,MIGRATING,281,2,0
8,281,42.5174,F,2,0,N/A,STIPostImmigrating,0,41,4,0,1,MARITAL,NORMAL,63,2,2
9,9,55.1078,M,1,2,local,STIPreEmigrating,0,3,2,0,1,MARITAL,MIGRATING,119,1,1
9,119,58.5144,F,1,2,local,STIPreEmigrating,0,3,2,0,1,MARITAL,MIGRATING,9,0,1
9,9,55.1078,M,2,0,N/A,STIPostImmigrating,0,3,2,0,1,MARITAL,MIGRATING,119,2,0
9,119,58.5144,F,2,0,N/A,STIPostImmigrating,0,3,2,0,1,MARITAL,NORMAL,9,2,2
10,135,20.0051,F,1,2,local,STIPreEmigrating,0,61,0,0,1,MARITAL,MIGRATING,185,1,1
10,185,25.5943,M,1,2,local,STIPreEmigrating,0,61,0,0,1,MARITAL,MIGRATING,135,1,0
10,135,20.0051,F,2,0,N/A,STIPostImmigrating,0,61,0,0,1,MARITAL,MIGRATING,185,0,2
10,185,25.5943,M,2,0,N/A,STIPostImmigrating,0,61,0,0,1,MARITAL,NORMAL,135,2,2
11,15,25.0385,M,1,2,local,STIPreEmigrating,0,57,7,0,1,MARITAL,MIGRATING,255,1,1
11,255,30.9089,F,1,2,local,STIPreEmigrating,0,57,7,0,1,MARITAL,MIGRATING,15,0,1
11,132,39.5582,F,1,0,N/A,STIPostImmigrating,0,20,4,0,1,MARITAL,MIGRATING,140,0,1
11,140,39.3581,M,1,0,N/A,STIPostImmigrating,0,20,4,0,1,MARITAL,NORMAL,132,1,1
11,132,39.5582,F,2,1,local,STIPreEmigrating,0,20,4,0,1,MARITAL,MIGRATING,140,2,2
11,140,39.3581,M,2,1,local,STIPreEmigrating,0,20,4,0,1,MARITAL,MIGRATING,132,2,0
11,15,25.0385,M,2,0,N/A,STIPostImmigrating,0,57,7,0,1,MARITAL,MIGRATING,255,2,0
11,255,30.9089,F,2,0,N/A,STIPostImmigrating,0,57,7,0,1,MARITAL,NORMAL,15,2,2
12,129,22.3724,F,1,2,local,STIPreEmigrating,0,65,1,0,1,MARITAL,MIGRATING,163,1,1
12,163,28.0361,M,1,2,local,STIPreEmigrating,0,65,1,0,1,MARITAL,MIGRATING,129,1,0
12,32,45.9093,M,1,0,N/A,STIPostImmigrating,0,10,5,0,1,MARITAL,MIGRATING,130,1,0
12,339,70.4005,M,1,0,N/A,STIPostImmigrating,0,60,5,0,1,MARITAL,MIGRATING,124,1,0
12,124,62.0121,F,1,0,N/A,STIPostImmigrating,0,60,5,0,1,MARITAL,NORMAL,339,1,1
12,130,39.3238,F,1,0,N/A,STIPostImmigrating,0,10,5,0,1,MARITAL,NORMAL,32,1,1
12,32,45.9093,M,2,1,local,STIPreEmigrating,0,10,5,0,1,MARITAL,MIGRATING,130,2,2
12,339,70.4005,M,2,1,local,STIPreEmigrating,0,60,5,0,1,MARITAL,MIGRATING,124,2,2
12,124,62.0121,F,2,1,local,STIPreEmigrating,0,60,5,0,1,MARITAL,MIGRATING,339,0,2
12,130,39.3238,F,2,1,local,STIPreEmigrating,0,10,5,0,1,MARITAL,MIGRATING,32,0,2
12,129,22.3724,F,2,0,N/A,STIPostImmigrating,0,65,1,0,1,MARITAL,MIGRATING,163,0,2
12,163,28.0361,M,2,0,N/A,STIPostImmigrating,0,65,1,0,1,MARITAL,NORMAL,129,2,2
14,67,53.2785,M,1,2,local,STIPreEmigrating,0,9,8,0,1,MARITAL,MIGRATING,149,1,1
14,149,48.577,F,1,2,local,STIPreEmigrating,0,9,8,0,1,MARITAL,MIGRATING,67,0,1
14,36,31.8814,M,1,2,local,STIPreEmigrating,0,12,8,0,1,MARITAL,MIGRATING,270,1,1
14,270,34.6352,F,1,2,local,STIPreEmigrating,0,12,8,0,1,MARITAL,MIGRATING,36,0,1
14,67,53.2785,M,2,0,N/A,STIPostImmigrating,0,9,8,0,1,MARITAL,MIGRATING,149,2,0
14,149,48.577,F,2,0,N/A,STIPostImmigrating,0,9,8,0,1,MARITAL,NORMAL,67,2,2
14,36,31.8814,M,2,0,N/A,STIPostImmigrating,0,12,8,0,1,MARITAL,MIGRATING,270,2,0
14,270,34.6352,F,2,0,N/A,STIPostImmigrating,0,12,8,0,1,MARITAL,NORMAL,36,2,2
16,266,46.0349,F,1,0,N/A,STIPostImmigrating,0,30,8,0,1,MARITAL,MIGRATING,298,0,1
16,298,48.8421,M,1,0,N/A,STIPostImmigrating,0,30,8,0,1,MARITAL,NORMAL,266,1,1
16,266,46.0349,F,2,1,local,STIPreEmigrating,0,30,8,0,1,MARITAL,MIGRATING,298,2,2
16,298,48.8421,M,2,1,local,STIPreEmigrating,0,30,8,0,1,MARITAL,MIGRATING,266,2,0
20,42,23.6969,F,1,2,local,STIPreEmigrating,0,75,0,0,1,MARITAL,MIGRATING,259,1,1
20,259,29.1456,M,1,2,local,STIPreEmigrating,0,75,0,0,1,MARITAL,MIGRATING,42,1,0
20,190,29.5137,F,1,0,N/A,STIPostImmigrating,0,40,7,0,1,MARITAL,MIGRATING,290,0,1
20,332,27.6727,M,1,0,N/A,STIPostImmigrating,0,50,6,0,1,MARITAL,MIGRATING,262,1,0
20,262,27.1081,F,1,0,N/A,STIPostImmigrating,0,50,6,0,1,MARITAL,NORMAL,332,1,1
20,290,27.0419,M,1,0,N/A,STIPostImmigrating,0,40,7,0,1,MARITAL,NORMAL,190,1,1
20,190,29.5137,F,2,1,local,STIPreEmigrating,0,40,7,0,1,MARITAL,MIGRATING,290,2,2
20,332,27.6727,M,2,1,local,STIPreEmigrating,0,50,6,0,1,MARITAL,MIGRATING,262,2,2
20,262,27.1081,F,2,1,local,STIPreEmigrating,0,50,6,0,1,MARITAL,MIGRATING,332,0,2
